 ,location,date,new_cases
598,China,11/09/2021,62
599,China,12/09/2021,88
600,China,13/09/2021,117
601,China,14/09/2021,76
602,China,15/09/2021,83
603,China,16/09/2021,84
604,China,17/09/2021,63
605,China,18/09/2021,75
606,China,19/09/2021,60
607,China,20/09/2021,82
608,China,21/09/2021,50
609,China,22/09/2021,50
610,China,23/09/2021,68
611,China,24/09/2021,49
612,China,25/09/2021,43
613,China,26/09/2021,47
614,China,27/09/2021,48
615,China,28/09/2021,29
616,China,29/09/2021,41
617,China,30/09/2021,53
618,China,01/10/2021,60
619,China,02/10/2021,37
620,China,03/10/2021,40
621,China,04/10/2021,37
622,China,05/10/2021,41
623,China,06/10/2021,36
624,China,07/10/2021,33
625,China,08/10/2021,29
626,China,09/10/2021,44
627,China,10/10/2021,36
628,China,11/10/2021,19
629,China,12/10/2021,35
630,China,13/10/2021,41
631,China,14/10/2021,25
632,China,15/10/2021,36
633,China,16/10/2021,34
634,China,17/10/2021,34
635,China,18/10/2021,29
636,China,19/10/2021,45
637,China,20/10/2021,39
638,China,21/10/2021,73
639,China,22/10/2021,70
640,China,23/10/2021,58
641,China,24/10/2021,48
642,China,25/10/2021,51
643,China,26/10/2021,79
644,China,27/10/2021,56
645,China,28/10/2021,85
646,China,29/10/2021,93
647,China,30/10/2021,89
648,China,31/10/2021,103
649,China,01/11/2021,80
650,China,02/11/2021,114
651,China,03/11/2021,118
652,China,04/11/2021,106
653,China,05/11/2021,97
654,China,06/11/2021,90
655,China,07/11/2021,118
656,China,08/11/2021,87
657,China,09/11/2021,116
658,China,10/11/2021,95
659,China,11/11/2021,115
660,China,12/11/2021,94
661,China,13/11/2021,90
662,China,14/11/2021,75
663,China,15/11/2021,23
664,China,16/11/2021,39
665,China,17/11/2021,48
666,China,18/11/2021,44
667,China,19/11/2021,46
668,China,20/11/2021,32
669,China,21/11/2021,45
670,China,22/11/2021,43
671,China,23/11/2021,37
672,China,24/11/2021,39
673,China,25/11/2021,35
674,China,26/11/2021,42
675,China,27/11/2021,34
676,China,28/11/2021,62
677,China,29/11/2021,57
678,China,30/11/2021,131
679,China,01/12/2021,84
680,China,02/12/2021,108
681,China,03/12/2021,114
682,China,04/12/2021,74
683,China,05/12/2021,80
684,China,06/12/2021,134
685,China,07/12/2021,79
686,China,08/12/2021,101
687,China,09/12/2021,95
688,China,10/12/2021,120
689,China,11/12/2021,77
690,China,12/12/2021,100
691,China,13/12/2021,67
692,China,14/12/2021,82
693,China,15/12/2021,99
694,China,16/12/2021,94
695,China,17/12/2021,140
696,China,18/12/2021,107
697,China,19/12/2021,140
698,China,20/12/2021,65
699,China,21/12/2021,132
700,China,22/12/2021,116
701,China,23/12/2021,105
702,China,24/12/2021,163
703,China,25/12/2021,61
704,China,26/12/2021,231
705,China,27/12/2021,368
706,China,28/12/2021,218
707,China,29/12/2021,215
708,China,30/12/2021,220
709,China,31/12/2021,254
710,China,01/01/2022,218
711,China,02/01/2022,101
712,China,03/01/2022,308
713,China,04/01/2022,136
714,China,05/01/2022,255
715,China,06/01/2022,183
716,China,07/01/2022,178
717,China,08/01/2022,210
718,China,09/01/2022,188
719,China,10/01/2022,230
720,China,11/01/2022,263
721,China,12/01/2022,218
722,China,13/01/2022,226
723,China,14/01/2022,198
724,China,15/01/2022,138
725,China,16/01/2022,263
726,China,17/01/2022,188
727,China,18/01/2022,114
728,China,19/01/2022,99
729,China,20/01/2022,91
730,China,21/01/2022,92
731,China,22/01/2022,93
732,China,23/01/2022,74
733,China,24/01/2022,66
734,China,25/01/2022,82
735,China,26/01/2022,124
736,China,27/01/2022,111
737,China,28/01/2022,110
738,China,29/01/2022,111
739,China,30/01/2022,119
740,China,31/01/2022,114
741,China,01/02/2022,90
742,China,02/02/2022,65
743,China,03/02/2022,121
744,China,04/02/2022,77
745,China,05/02/2022,96
746,China,06/02/2022,110
747,China,07/02/2022,151
748,China,08/02/2022,143
749,China,09/02/2022,46
750,China,10/02/2022,127
751,China,11/02/2022,155
752,China,12/02/2022,98
753,China,13/02/2022,112
754,China,14/02/2022,110
755,China,15/02/2022,142
756,China,16/02/2022,110
757,China,17/02/2022,111
758,China,18/02/2022,177
759,China,19/02/2022,218
760,China,20/02/2022,180
761,China,21/02/2022,164
762,China,22/02/2022,239
763,China,23/02/2022,239
764,China,24/02/2022,323
765,China,25/02/2022,323
766,China,26/02/2022,326
767,China,27/02/2022,263
768,China,28/02/2022,359
769,China,01/03/2022,355
770,China,02/03/2022,371
771,China,03/03/2022,411
772,China,04/03/2022,412
773,China,05/03/2022,470
774,China,06/03/2022,518
775,China,07/03/2022,748
776,China,08/03/2022,761
777,China,09/03/2022,666
778,China,10/03/2022,1349
779,China,11/03/2022,1225
780,China,12/03/2022,1620
781,China,13/03/2022,3438
782,China,14/03/2022,2228
783,China,15/03/2022,5062
784,China,16/03/2022,4223
785,China,17/03/2022,1890
786,China,18/03/2022,4053
787,China,19/03/2022,5396
788,China,20/03/2022,2710
789,China,21/03/2022,4393
790,China,22/03/2022,6923
791,China,23/03/2022,4408
792,China,24/03/2022,4108
793,China,25/03/2022,4843
794,China,26/03/2022,5594
795,China,27/03/2022,5584
796,China,28/03/2022,6195
797,China,29/03/2022,7315
798,China,30/03/2022,8943
799,China,31/03/2022,7042
800,China,01/04/2022,9040
801,China,02/04/2022,9309
802,China,03/04/2022,13042
803,China,04/04/2022,12925
804,China,05/04/2022,16649
805,China,06/04/2022,20378
806,China,07/04/2022,23255
807,China,08/04/2022,23576
808,China,09/04/2022,24669
809,China,10/04/2022,25988
810,China,11/04/2022,27584
811,China,12/04/2022,24560
812,China,13/04/2022,29387
813,China,14/04/2022,29520
814,China,15/04/2022,24281
815,China,16/04/2022,23436
816,China,17/04/2022,24131
817,China,18/04/2022,23134
818,China,19/04/2022,20615
819,China,20/04/2022,16165
820,China,21/04/2022,18942
821,China,22/04/2022,18453
822,China,23/04/2022,23119
823,China,24/04/2022,21316
824,China,25/04/2022,19413
825,China,26/04/2022,16772
826,China,27/04/2022,12981
827,China,28/04/2022,10392
828,China,29/04/2022,10565
829,China,30/04/2022,9737
830,China,01/05/2022,8360
831,China,02/05/2022,6775
832,China,03/05/2022,5886
833,China,04/05/2022,5347
834,China,05/05/2022,4924
835,China,06/05/2022,4503
836,China,07/05/2022,4467
837,China,08/05/2022,4407
838,China,09/05/2022,4037
839,China,10/05/2022,3269
840,China,11/05/2022,1616
841,China,12/05/2022,1913
842,China,13/05/2022,2301
843,China,14/05/2022,1887
844,China,15/05/2022,1580
845,China,16/05/2022,1198
846,China,17/05/2022,1106
847,China,18/05/2022,1197
848,China,19/05/2022,1002
849,China,20/05/2022,1109
850,China,21/05/2022,1112
851,China,22/05/2022,871
852,China,23/05/2022,782
853,China,24/05/2022,592
854,China,25/05/2022,563
855,China,26/05/2022,473
856,China,27/05/2022,399
857,China,28/05/2022,326
858,China,29/05/2022,218
859,China,30/05/2022,195
860,China,31/05/2022,155
861,China,01/06/2022,93
862,China,02/06/2022,154
863,China,03/06/2022,171
864,China,04/06/2022,0
865,China,05/06/2022,309
866,China,06/06/2022,199
867,China,07/06/2022,203
868,China,08/06/2022,218
869,China,09/06/2022,205
870,China,10/06/2022,180
871,China,11/06/2022,263
872,China,12/06/2022,176
873,China,13/06/2022,220
874,China,14/06/2022,205
875,China,15/06/2022,209
876,China,16/06/2022,158
877,China,17/06/2022,134
878,China,18/06/2022,202
879,China,19/06/2022,151
880,China,20/06/2022,105
881,China,21/06/2022,133
882,China,22/06/2022,138
883,China,23/06/2022,120
884,China,24/06/2022,144
885,China,25/06/2022,128
886,China,26/06/2022,107
887,China,27/06/2022,76
888,China,28/06/2022,106
889,China,29/06/2022,137
890,China,30/06/2022,111
891,China,01/07/2022,72
892,China,02/07/2022,500
893,China,03/07/2022,435
894,China,04/07/2022,491
895,China,05/07/2022,435
896,China,06/07/2022,358
897,China,07/07/2022,366
898,China,08/07/2022,486
899,China,09/07/2022,432
900,China,10/07/2022,398
901,China,11/07/2022,430
902,China,12/07/2022,402
903,China,13/07/2022,352
904,China,14/07/2022,342
905,China,15/07/2022,533
906,China,16/07/2022,547
907,China,17/07/2022,678
908,China,18/07/2022,614
909,China,19/07/2022,627
910,China,20/07/2022,1029
911,China,21/07/2022,840
912,China,22/07/2022,969
913,China,23/07/2022,745
914,China,24/07/2022,966
915,China,25/07/2022,748
916,China,26/07/2022,902
917,China,27/07/2022,1111
918,China,28/07/2022,109
919,China,29/07/2022,523
920,China,30/07/2022,441
921,China,31/07/2022,454
922,China,01/08/2022,393
923,China,02/08/2022,464
924,China,03/08/2022,421
925,China,04/08/2022,419
926,China,05/08/2022,509
927,China,06/08/2022,677
928,China,07/08/2022,861
929,China,08/08/2022,657
930,China,09/08/2022,150
931,China,10/08/2022,2053
932,China,11/08/2022,663
933,China,12/08/2022,1546
934,China,13/08/2022,2820
935,China,14/08/2022,3757
936,China,15/08/2022,1241
937,China,16/08/2022,4180
938,China,17/08/2022,3036
939,China,18/08/2022,3449
940,China,19/08/2022,2752
941,China,20/08/2022,2128
942,China,21/08/2022,372
943,China,22/08/2022,3447
944,China,23/08/2022,1851
945,China,24/08/2022,1534
946,China,25/08/2022,1461
947,China,26/08/2022,383
948,China,27/08/2022,307
949,China,28/08/2022,3766
950,China,29/08/2022,1774
951,China,30/08/2022,1699
952,China,31/08/2022,1730
953,China,01/09/2022,2029
954,China,02/09/2022,2117
955,China,03/09/2022,384
956,China,04/09/2022,3083
957,China,05/09/2022,1587
958,China,06/09/2022,1632
959,China,07/09/2022,1556
960,China,08/09/2022,1439
961,China,09/09/2022,1350
962,China,10/09/2022,1271
963,China,11/09/2022,1276
964,China,12/09/2022,1069
965,China,13/09/2022,983
966,China,14/09/2022,944
967,China,15/09/2022,1039
968,China,16/09/2022,942
969,China,17/09/2022,657
970,China,18/09/2022,1153
971,China,19/09/2022,976
972,China,20/09/2022,745
973,China,21/09/2022,738
974,China,22/09/2022,796
975,China,23/09/2022,889
976,China,24/09/2022,831
977,China,25/09/2022,832
978,China,26/09/2022,799
979,China,27/09/2022,818
980,China,28/09/2022,1198
981,China,29/09/2022,757
982,China,30/09/2022,863
983,China,01/10/2022,801
984,China,02/10/2022,756
985,China,03/10/2022,855
986,China,04/10/2022,913
987,China,05/10/2022,1080
988,China,06/10/2022,1339
989,China,07/10/2022,1790
990,China,08/10/2022,3092
991,China,09/10/2022,434
992,China,10/10/2022,2093
993,China,11/10/2022,3474
994,China,12/10/2022,369
995,China,13/10/2022,1491
996,China,14/10/2022,1459
997,China,15/10/2022,1193
998,China,16/10/2022,1006
999,China,17/10/2022,901
1000,China,18/10/2022,921
1001,China,19/10/2022,936
1002,China,20/10/2022,941
1003,China,21/10/2022,976
1004,China,22/10/2022,973
1005,China,23/10/2022,990
1006,China,24/10/2022,1089
1007,China,25/10/2022,1214
1008,China,26/10/2022,1412
1009,China,27/10/2022,1241
1010,China,28/10/2022,1255
1011,China,29/10/2022,1625
1012,China,30/10/2022,2054
1013,China,31/10/2022,2872
1014,China,01/11/2022,2770
1015,China,02/11/2022,3382
1016,China,03/11/2022,3411
1017,China,04/11/2022,3905
1018,China,05/11/2022,7546
1019,China,06/11/2022,549
1020,China,07/11/2022,5927
1021,China,08/11/2022,7998
1022,China,09/11/2022,14855
1023,China,10/11/2022,1438
1024,China,11/11/2022,10858
1025,China,12/11/2022,24261
1026,China,13/11/2022,1635
1027,China,14/11/2022,15521
1028,China,15/11/2022,17595
1029,China,16/11/2022,39974
1030,China,17/11/2022,2272
1031,China,18/11/2022,23903
1032,China,19/11/2022,45462
1033,China,20/11/2022,26004
1034,China,21/11/2022,27596
1035,China,22/11/2022,1953
1036,China,23/11/2022,55616
1037,China,24/11/2022,3349
1038,China,25/11/2022,31928
1039,China,26/11/2022,34398
1040,China,27/11/2022,38503
1041,China,28/11/2022,39047
1042,China,29/11/2022,71310
1043,China,30/11/2022,4445
1044,China,01/12/2022,35392
1045,China,02/12/2022,62439
1046,China,03/12/2022,4417
1047,China,04/12/2022,30983
1048,China,05/12/2022,30247
1049,China,06/12/2022,25112
1050,China,07/12/2022,25264
1051,China,08/12/2022,21093
1052,China,09/12/2022,16835
1053,China,10/12/2022,12755
