LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LTINT,TOT,PC_PA,M,2007-06,6.20475,
AUS,LTINT,TOT,PC_PA,M,2007-07,6.149773,
AUS,LTINT,TOT,PC_PA,M,2007-08,5.925909,
AUS,LTINT,TOT,PC_PA,M,2007-09,5.992105,
AUS,LTINT,TOT,PC_PA,M,2007-10,6.174348,
AUS,LTINT,TOT,PC_PA,M,2007-11,6.025455,
AUS,LTINT,TOT,PC_PA,M,2007-12,6.207632,
AUS,LTINT,TOT,PC_PA,M,2008-01,6.076428,
AUS,LTINT,TOT,PC_PA,M,2008-02,6.294524,
AUS,LTINT,TOT,PC_PA,M,2008-03,6.085526,
AUS,LTINT,TOT,PC_PA,M,2008-04,6.170476,
AUS,LTINT,TOT,PC_PA,M,2008-05,6.355,
AUS,LTINT,TOT,PC_PA,M,2008-06,6.58675,
AUS,LTINT,TOT,PC_PA,M,2008-07,6.366522,
AUS,LTINT,TOT,PC_PA,M,2008-08,5.8625,
AUS,LTINT,TOT,PC_PA,M,2008-09,5.645909,
AUS,LTINT,TOT,PC_PA,M,2008-10,5.215227,
AUS,LTINT,TOT,PC_PA,M,2008-11,4.94075,
AUS,LTINT,TOT,PC_PA,M,2008-12,4.215714,
AUS,LTINT,TOT,PC_PA,M,2009-01,4.08575,
AUS,LTINT,TOT,PC_PA,M,2009-02,4.253,
AUS,LTINT,TOT,PC_PA,M,2009-03,4.327727,
AUS,LTINT,TOT,PC_PA,M,2009-04,4.512,
AUS,LTINT,TOT,PC_PA,M,2009-05,5.004286,
AUS,LTINT,TOT,PC_PA,M,2009-06,5.556667,
AUS,LTINT,TOT,PC_PA,M,2009-07,5.487826,
AUS,LTINT,TOT,PC_PA,M,2009-08,5.53325,
AUS,LTINT,TOT,PC_PA,M,2009-09,5.323637,
AUS,LTINT,TOT,PC_PA,M,2009-10,5.450238,
AUS,LTINT,TOT,PC_PA,M,2009-11,5.466667,
AUS,LTINT,TOT,PC_PA,M,2009-12,5.473095,
AUS,LTINT,TOT,PC_PA,M,2010-01,5.5575,
AUS,LTINT,TOT,PC_PA,M,2010-02,5.4775,
AUS,LTINT,TOT,PC_PA,M,2010-03,5.62,
AUS,LTINT,TOT,PC_PA,M,2010-04,5.795,
AUS,LTINT,TOT,PC_PA,M,2010-05,5.48,
AUS,LTINT,TOT,PC_PA,M,2010-06,5.3275,
AUS,LTINT,TOT,PC_PA,M,2010-07,5.145,
AUS,LTINT,TOT,PC_PA,M,2010-08,4.97,
AUS,LTINT,TOT,PC_PA,M,2010-09,5.0025,
AUS,LTINT,TOT,PC_PA,M,2010-10,5.085,
AUS,LTINT,TOT,PC_PA,M,2010-11,5.3775,
AUS,LTINT,TOT,PC_PA,M,2010-12,5.555,
AUS,LTINT,TOT,PC_PA,M,2011-01,5.52,
AUS,LTINT,TOT,PC_PA,M,2011-02,5.61,
AUS,LTINT,TOT,PC_PA,M,2011-03,5.435,
AUS,LTINT,TOT,PC_PA,M,2011-04,5.5125,
AUS,LTINT,TOT,PC_PA,M,2011-05,5.325,
AUS,LTINT,TOT,PC_PA,M,2011-06,5.16,
AUS,LTINT,TOT,PC_PA,M,2011-07,5.02,
AUS,LTINT,TOT,PC_PA,M,2011-08,4.4925,
AUS,LTINT,TOT,PC_PA,M,2011-09,4.2025,
AUS,LTINT,TOT,PC_PA,M,2011-10,4.37,
AUS,LTINT,TOT,PC_PA,M,2011-11,4.0825,
AUS,LTINT,TOT,PC_PA,M,2011-12,3.825,
AUS,LTINT,TOT,PC_PA,M,2012-01,3.795,
AUS,LTINT,TOT,PC_PA,M,2012-02,3.97,
AUS,LTINT,TOT,PC_PA,M,2012-03,4.15,
AUS,LTINT,TOT,PC_PA,M,2012-04,3.8575,
AUS,LTINT,TOT,PC_PA,M,2012-05,3.2775,
AUS,LTINT,TOT,PC_PA,M,2012-06,2.995,
AUS,LTINT,TOT,PC_PA,M,2012-07,2.8875,
AUS,LTINT,TOT,PC_PA,M,2012-08,3.1875,
AUS,LTINT,TOT,PC_PA,M,2012-09,3.0925,
AUS,LTINT,TOT,PC_PA,M,2012-10,3.0225,
AUS,LTINT,TOT,PC_PA,M,2012-11,3.0875,
AUS,LTINT,TOT,PC_PA,M,2012-12,3.2275,
AUS,LTINT,TOT,PC_PA,M,2013-01,3.3975,
AUS,LTINT,TOT,PC_PA,M,2013-02,3.4975,
AUS,LTINT,TOT,PC_PA,M,2013-03,3.5125,
AUS,LTINT,TOT,PC_PA,M,2013-04,3.245,
AUS,LTINT,TOT,PC_PA,M,2013-05,3.225,
AUS,LTINT,TOT,PC_PA,M,2013-06,3.54,
AUS,LTINT,TOT,PC_PA,M,2013-07,3.75,
AUS,LTINT,TOT,PC_PA,M,2013-08,3.86,
AUS,LTINT,TOT,PC_PA,M,2013-09,4,
AUS,LTINT,TOT,PC_PA,M,2013-10,3.97,
AUS,LTINT,TOT,PC_PA,M,2013-11,4.13,
AUS,LTINT,TOT,PC_PA,M,2013-12,4.24,
AUS,LTINT,TOT,PC_PA,M,2014-01,4.18,
AUS,LTINT,TOT,PC_PA,M,2014-02,4.12,
AUS,LTINT,TOT,PC_PA,M,2014-03,4.1,
AUS,LTINT,TOT,PC_PA,M,2014-04,4.03,
AUS,LTINT,TOT,PC_PA,M,2014-05,3.78,
AUS,LTINT,TOT,PC_PA,M,2014-06,3.7,
AUS,LTINT,TOT,PC_PA,M,2014-07,3.47,
AUS,LTINT,TOT,PC_PA,M,2014-08,3.41,
AUS,LTINT,TOT,PC_PA,M,2014-09,3.55,
AUS,LTINT,TOT,PC_PA,M,2014-10,3.32,
AUS,LTINT,TOT,PC_PA,M,2014-11,3.26,
AUS,LTINT,TOT,PC_PA,M,2014-12,2.96,
AUS,LTINT,TOT,PC_PA,M,2015-01,2.64,
AUS,LTINT,TOT,PC_PA,M,2015-02,2.5,
